Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Yann Karamoh,Parma,22,1998,14.4,2,22,9,40.9,1.53,0.63,0.09,0.22,14.1,0,0,0,3.3,3.3,0.15,-1.3,-1.3
Justin Kluivert,Roma,21,1999,0.2,0,1,0,0.0,4.74,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Aleksandr Kokorin,Fiorentina,29,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sam Lammers,Atalanta,23,1997,3.2,2,9,4,44.4,2.78,1.24,0.22,0.50,12.9,0,0,0,1.3,1.3,0.14,+0.7,+0.7
Fernando Llorente,Napoli,35,1985,0.6,0,2,0,0.0,3.46,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Daniel Maldini,Milan,18,2001,0.3,0,1,1,100.0,3.10,3.10,0.00,0.00,17.1,0,0,0,0.1,0.1,0.15,-0.1,-0.1
Ruslan Malinovskyi,Atalanta,27,1993,20.8,8,69,23,33.3,3.31,1.10,0.10,0.30,20.6,12,1,1,6.5,5.7,0.08,+1.5,+1.3
Dennis Man,Parma,21,1998,7.8,2,19,6,31.6,2.45,0.77,0.11,0.33,14.9,0,0,0,2.1,2.1,0.11,-0.1,-0.1
Dries Mertens,Napoli,33,1987,16.2,9,55,20,36.4,3.39,1.23,0.16,0.45,17.5,6,0,0,5.3,5.3,0.10,+3.7,+3.7
Valentin Mihaila,Parma,20,2000,7.8,3,19,10,52.6,2.45,1.29,0.16,0.30,16.4,0,0,0,2.6,2.6,0.14,+0.4,+0.4
Vincenzo Millico,Torino,19,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aleksei Miranchuk,Atalanta,24,1995,7.5,4,16,7,43.8,2.13,0.93,0.25,0.57,15.7,1,0,0,1.8,1.8,0.11,+2.2,+2.2
Henrikh Mkhitaryan,Roma,31,1989,30.5,13,81,33,40.7,2.66,1.08,0.15,0.36,16.3,1,1,1,12.2,11.5,0.14,+0.8,+0.5
Riccardo Orsolini,Bologna,23,1997,19.5,7,53,17,32.1,2.72,0.87,0.08,0.24,18.2,10,3,3,8.5,6.4,0.12,-1.5,-2.4
Adam Ounas,Crotone,23,1996,13.3,4,25,10,40.0,1.88,0.75,0.16,0.40,17.1,0,0,0,2.0,2.0,0.08,+2.0,+2.0
Goran Pandev,Genoa,37,1983,15.6,7,19,10,52.6,1.22,0.64,0.32,0.60,15.4,0,1,1,4.0,3.2,0.17,+3.0,+2.8
Javier Pastore,Roma,31,1989,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pedro,Roma,33,1987,17.7,5,42,15,35.7,2.38,0.85,0.12,0.33,18.1,0,0,0,5.1,5.1,0.12,-0.1,-0.1
JoÃ£o Pedro,Cagliari,28,1992,36.1,16,72,29,40.3,1.99,0.80,0.17,0.41,13.9,3,4,5,13.1,9.3,0.13,+2.9,+2.7
Carles PÃ©rez,Roma,22,1998,8.6,2,23,8,34.8,2.68,0.93,0.09,0.25,15.6,0,0,0,2.8,2.8,0.14,-0.8,-0.8
Jens Petter Hauge,Milan,20,1999,5.9,2,7,3,42.9,1.18,0.51,0.29,0.67,14.4,0,0,0,0.7,0.7,0.10,+1.3,+1.3
Marko Pjaca,Genoa,25,1995,15.8,3,30,11,36.7,1.90,0.70,0.10,0.27,16.6,0,0,0,2.9,2.9,0.10,+0.1,+0.1
Manolo Portanova,Juventus,20,2000,0.8,0,5,2,40.0,6.43,2.57,0.00,0.00,20.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6
Giacomo Raspadori,Sassuolo,20,2000,13.7,6,23,12,52.2,1.68,0.88,0.26,0.50,13.6,1,0,0,4.3,4.3,0.19,+1.7,+1.7
Emmanuel RiviÃ¨re,Crotone,30,1990,7.1,1,11,3,27.3,1.55,0.42,0.09,0.33,14.9,0,0,0,1.1,1.1,0.10,-0.1,-0.1
Eddy Salcedo,Hellas Verona,18,2001,8.4,2,21,10,47.6,2.50,1.19,0.10,0.20,14.2,0,0,0,2.8,2.8,0.13,-0.8,-0.8
Nicola Sansone,Bologna,28,1991,13.0,2,31,13,41.9,2.39,1.00,0.06,0.15,16.8,3,0,0,3.8,3.8,0.12,-1.8,-1.8
Riccardo Saponara,Spezia,28,1991,4.3,2,10,4,40.0,2.31,0.93,0.20,0.50,14.3,0,0,0,1.0,1.0,0.10,+1.0,+1.0
Stephan El Shaarawy,Roma,27,1992,6.4,1,16,7,43.8,2.52,1.10,0.06,0.14,17.4,0,0,0,1.3,1.3,0.08,-0.3,-0.3
MattÃ©o Tramoni,Cagliari,20,2000,0.8,0,1,0,0.0,1.22,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Emanuel Vignato,Bologna,19,2000,13.4,1,23,8,34.8,1.72,0.60,0.04,0.13,19.5,1,0,0,1.8,1.8,0.08,-0.8,-0.8
Joshua Zirkzee,Parma,19,2001,1.3,0,1,0,0.0,0.80,0.00,0.00,,8.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Gennaro Acampora,Spezia,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,25.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3
AntonÃ­n BarÃ¡k,Hellas Verona,25,1994,30.7,7,43,15,34.9,1.40,0.49,0.16,0.47,15.3,1,0,0,5.8,5.8,0.13,+1.2,+1.2
Daniel Bessa,Hellas Verona,27,1993,6.8,0,8,4,50.0,1.17,0.59,0.00,0.00,16.1,0,0,0,0.8,0.8,0.10,-0.8,-0.8
Hakan Ã‡alhanoÄŸlu,Milan,26,1994,29.0,4,84,23,27.4,2.89,0.79,0.04,0.13,23.0,16,1,1,5.5,4.8,0.06,-1.5,-1.8
